=== Phase 0実装後翻訳エラーテスト: 2025年 8月 15日 金曜日 22:32:09     ===
2025-08-15 23:36:12.172 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:12.285 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:12.399 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:12.522 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:12.634 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:12.739 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:12.862 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:12.970 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:13.086 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:13.205 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:13.313 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:13.417 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:13.527 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:13.624 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:13.730 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:13.850 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:13.953 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:14.052 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:14.162 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:14.288 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:14.401 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:14.512 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:14.613 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:14.724 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:14.844 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:14.954 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:15.064 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:15.173 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:15.282 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:15.382 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-15 23:36:15.500 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-16 12:01:04.727 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 12:01:06.105 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 16:48:23.321 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 16:56:50.936 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 16:56:50.938 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 16:56:50.941 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 16:56:50.941 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 16:56:50.943 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 16:56:50.941 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 17:03:40.485 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 17:45:57.644 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 17:45:57.644 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳エラーが発生しました
2025-08-16 21:22:04.856 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:04.856 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:04.856 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
